aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6211690,NY,330276,2025,0,0,1,0,1
6211720,NY,331315,2025,1,1,1,0,1
6211860,NY,330151,2022,0,0,1,0,0
6211880,NY,330045,2025,0,0,1,0,0
6211980,NY,330014,2025,1,1,1,0,1
6212010,NY,330231,2025,1,1,1,1,0
6212040,NY,330239,2025,1,1,1,0,1
6212140,NY,330004,2022,0,1,1,0,1
6212230,NY,331311,2025,1,1,1,1,0
6212320,NY,331317,2025,0,0,1,0,1
6212350,NY,331321,2025,1,1,1,1,0
6212357,NY,330106,2025,0,0,1,0,0
6212380,NY,330223,2025,1,1,1,0,1
6212390,NY,331319,2024,0,0,1,0,0
6212490,NY,331313,2023,1,1,1,1,0
6212500,NY,330162,2024,0,0,1,0,1
6212565,NY,330030,2025,1,1,1,0,1
6212600,NY,330184,2023,0,0,0,0,0
6212630,NY,330204,2025,1,1,1,1,0
6212655,NY,330169,2025,1,1,1,0,1
6212675,NY,330009,2025,0,0,1,0,1
6212700,NY,330127,2025,1,1,1,1,0
6212830,NY,330240,2025,1,1,1,1,0
6212925,NY,330214,2025,1,1,1,1,0
6212990,NY,330119,2025,0,0,1,0,0
6213010,NY,330080,2025,1,1,1,1,0
6213060,NY,330154,2025,1,1,1,0,1
6213070,NY,330199,2025,1,1,1,1,0
6213100,NY,330059,2025,1,1,1,0,1
6213140,NY,330024,2025,1,1,1,0,1
6213180,NY,330128,2025,1,1,1,1,0
6213335,NY,330046,2025,1,1,1,0,1
6213660,NY,330188,2024,0,0,0,0,0
6213710,NY,330033,2023,1,1,1,1,0
6213720,NY,330104,2025,1,1,1,0,1
6213735,NY,330198,2025,1,1,1,0,1
6213830,NY,330085,2025,1,1,1,1,0
6213870,NY,330261,2024,0,0,1,0,1
6213900,NY,330218,2025,1,1,1,0,1
6213923,NY,330141,2023,1,1,1,1,0
6213930,NY,330267,2023,1,1,1,0,1
6213950,NY,331314,2023,0,0,1,0,0
6213977,NY,330331,2025,0,0,1,0,0
6213990,NY,330250,2025,1,1,1,1,0
6214050,NY,330185,2023,0,0,1,0,0
6214055,NY,330246,2025,1,1,1,0,1
6214140,NY,330023,2025,1,0,1,1,0
6214180,NY,330049,2025,1,0,1,1,0
6214280,NY,330226,2025,1,1,1,0,1
6214290,NY,330125,2025,1,1,1,0,1
6214330,NY,330285,2025,1,1,1,1,0
6214360,NY,330259,2025,1,1,1,0,1
