term,estimate,hc3_se,hc3_statistic,hc3_p_value,hc3_conf_low,hc3_conf_high
(Intercept),4.738766006405113,0.23407537864480024,20.244615362113738,1.0822070864797643e-70,4.279110580879513,5.198421431930713
tefca_statusCurrent TEFCA,0.10848031782157112,0.060221048913467315,1.8013687868082204,0.0721190311713244,-0.009776168717846076,0.2267368043609883
tefca_statusNeither current nor planned,0.08049982565131115,0.0544889676240201,1.4773600815263899,0.140074916839309,-0.02650053356919496,0.18750018487181727
national_network,-0.02559592534066347,0.04677134954057734,-0.5472565062177062,0.5843947966870124,-0.11744114502993315,0.0662492943486062
vendor_network,-0.18628956893811674,0.04792539530973577,-3.887074227226522,1.1212830069583543e-4,-0.2804009962147444,-0.09217814166148909
hio,-0.026339132410012452,0.05549498993718697,-0.47462180711853247,0.6352197392912555,-0.1353150245427121,0.08263675972268719
log_denominator,-0.07464139974787164,0.016326835235233348,-4.571700435047897,5.816335143027436e-6,-0.10670251801236733,-0.042580281483375955
mstateAL,0.11979053174428841,0.25047841415926503,0.4782469265719656,0.6326390707466361,-0.3720756470564527,0.6116567105450296
mstateAR,0.2981439826460567,0.274584872238075,1.0857990107610702,0.2779799436866729,-0.24106021312290593,0.8373481784150193
mstateAZ,-0.12604227474458035,0.25203031412342175,-0.5001075969093789,0.6171725783062467,-0.620955930142508,0.36887138065334735
mstateCA,-0.012803660410042838,0.23114928468081536,-0.055391304488451656,0.9558441463516105,-0.4667130951615158,0.44110577434143017
mstateCO,-0.059040980648968386,0.22218696390224335,-0.265726573746896,0.790536044162607,-0.49535104465490587,0.37726908335696907
mstateCT,-0.31451969411867,0.24447526765553873,-1.2865092536142453,0.1987342247744855,-0.7945974529811908,0.16555806474385082
mstateDE,-0.02359188681453656,0.5758161649695033,-0.040971213122830696,0.9673317236262811,-1.1543260369244153,1.107142263295342
mstateFL,-0.10215732762840199,0.23428781444153526,-0.4360334653849211,0.662960644206078,-0.562229914784202,0.357915259527398
mstateGA,0.01901917160363664,0.23764581461878387,0.08003158664563889,0.9362373493006615,-0.4476475435177983,0.48568588672507157
mstateIA,0.11190894257919584,0.22160189486664011,0.504999935341449,0.6137340941117436,-0.32325221735114407,0.5470701025095357
mstateID,0.24513805097749927,0.26633387041336404,0.9204163578482611,0.35770474669667196,-0.2778635959513943,0.7681396979063929
