term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
tefca_statusCurrent TEFCA,0.4788207170745427,0.3022850198935622,0.11374354946049421,-0.11489893535389689,1.0725403695029823,0.30133768982376685,1.5889838319082301,0.11261466661250898,-0.11303827920900439,1.0706797133580899
tefca_statusNeither current nor planned,0.588441269936744,0.28099071218866106,0.0366831431291557,0.036545883142472646,1.1403366567310154,0.27145881480202005,2.167699989281634,0.03059183583299174,0.05526753466649692,1.121615005206991
national_network,-0.1254526389539413,0.2392921685878134,0.6002962425908154,-0.5954476893630861,0.3445424114552036,0.24839279912654857,-0.5050574710502256,0.613712324236793,-0.6133222873244407,0.3624170094165582
vendor_network,-0.7438662603817776,0.2551482875047177,0.0036906786506004166,-1.2450044002351934,-0.2427281205283618,0.2490183051792065,-2.987195097350184,0.0029357348537811818,-1.2329644685939347,-0.2547680521696204
hio,0.17172728758571268,0.28676967518519036,0.5495201699738046,-0.39151859187572524,0.7349731670471505,0.3111596684218285,0.5518944291742459,0.5812354851932593,-0.4394231103076597,0.782877685479085
log_denominator,-0.2240817347927199,0.11608714545115287,0.05406334764658882,-0.45208912885060865,0.003925659265168857,0.1065999391579998,-2.102081263485446,0.0359812280126871,-0.4334552553464863,-0.014708214238953465
