term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
(Intercept),4.738766006405108,0.2452535634348172,8.932351916467648e-66,4.257159902785952,5.220372110024263,0.19286509234239796,24.570366512941927,3.3061690644149327e-94,4.3600355025694,5.117496510240815
tefca_statusCurrent TEFCA,0.10848031782157228,0.054618062829850926,0.047444844824751684,0.0012264534604869426,0.2157341821826576,0.05784146680164643,1.8754766056258523,0.06118580969709928,-0.005103367013903584,0.22206400265704812
tefca_statusNeither current nor planned,0.080499825651311,0.05027338196113922,0.10982077295756228,-0.018222359107063685,0.1792220104096857,0.052091538075808956,1.5453532113826125,0.1227590484991074,-0.021792684732078127,0.18279233603470013
national_network,-0.02559592534066353,0.04216972600957179,0.5440851557804722,-0.10840490536005047,0.05721305467872341,0.04476232492815573,-0.5718184965089596,0.5676472992243966,-0.11349600962756623,0.06230415894623917
vendor_network,-0.18628956893811935,0.044623435577174964,3.400398073333646e-5,-0.2739169152544775,-0.09866222262176123,0.04607360519682396,-4.043303495402636,5.9179676159141146e-5,-0.27676462327683876,-0.09581451459939995
hio,-0.026339132410012633,0.05059171234447348,0.6028119577515836,-0.12568642472415156,0.07300815990412629,0.053228704878028124,-0.49482948101720514,0.6208916536598287,-0.13086470503768344,0.07818644021765817
log_denominator,-0.07464139974787158,0.014601475162868307,4.226287547405155e-7,-0.10331441661170143,-0.04596838288404173,0.015579645464159514,-4.790956246057189,2.0683814866312195e-6,-0.10523525633726179,-0.044047543158481375
mstateAL,0.11979053174430115,0.2552474502470837,0.6390081827915222,-0.38144063591167393,0.6210216994002762,0.20801296128882307,0.5758801326710294,0.5649002363146634,-0.28868594617328847,0.5282670096618908
mstateAR,0.29814398264606223,0.26965094270390344,0.269289670437139,-0.23137142187679327,0.8276593871689177,0.22881915362067107,1.3029677713969505,0.19305804723757383,-0.15118975777061133,0.7474777230627359
mstateAZ,-0.12604227474457333,0.24400842515058802,0.6056509602385625,-0.6052032917801283,0.3531187422909817,0.21207879956585413,-0.5943181261049859,0.5525110356468959,-0.5425028671562505,0.2904183176671038
mstateCA,-0.012803660410036909,0.2354391015409402,0.956647886419483,-0.4751370379344906,0.4495297171144168,0.18965466958980917,-0.06751038842190941,0.946196642975,-0.3852298350804901,0.3596225142604163
mstateCO,-0.05904098064896235,0.24845104528323597,0.8122398660160475,-0.546926001291149,0.42884403999322424,0.1781201173338505,-0.3314672229768514,0.7404009575409624,-0.40881667599025295,0.29073471469232826
mstateCT,-0.31451969411866365,0.26303166545479706,0.23224108496436285,-0.8310367785352987,0.20199739029797137,0.20129179672204825,-1.5625062682160118,0.1186669746222871,-0.7097977751059357,0.08075838686860837
mstateDC,-0.03708996301303437,0.4913019258520205,0.9398460711027457,-1.001862922461044,0.9276829964349753,0.17061387936398498,-0.217391241271217,0.8279732879965961,-0.3721256074010352,0.29794568137496646
mstateDE,-0.02359188681452987,0.33777575529365345,0.9443391622579037,-0.6868844527846427,0.639700679155583,0.40562169599809056,-0.058162290250472516,0.9536376554672358,-0.8201139915991703,0.7729302179701106
mstateFL,-0.10215732762839586,0.24226899554567222,0.6734093330538209,-0.5779026148257748,0.37358795956898305,0.19245743453932077,-0.5308047874218349,0.5957396522422174,-0.4800873110418905,0.2757726557850988
mstateGA,0.019019171603642537,0.24726553643551014,0.9387130030325062,-0.4665378571881381,0.5045762003954232,0.19512985418181064,0.09746930670035545,0.922384463966854,-0.36415866058003693,0.402197003787322
mstateIA,0.11190894257920257,0.23092600389697718,0.6281204642614503,-0.34156203416655867,0.5653799193249638,0.17840173068892057,0.6272861936207245,0.530697133055684,-0.23841975883777122,0.4622376439961764
mstateID,0.24513805097750546,0.26120935041965687,0.34835794901687867,-0.26780054091347977,0.7580766428684906,0.2237632990163141,1.095523940052533,0.27370249075359865,-0.19426747309699666,0.6845435750520076
mstateIL,0.012656527130624862,0.24124672043489764,0.9581762744537891,-0.4610813114244927,0.48639436568574246,0.18936399298476067,0.06683703132328549,0.946732480518887,-0.35919884389803797,0.3845118981592877
mstateIN,-0.007430000759066304,0.26433131635580787,0.9775843135688732,-0.526499218558535,0.5116392170404024,0.22435493693719644,-0.03311717076743526,0.9735915566367436,-0.44799732827421535,0.43313732675608274
mstateKS,0.22067324233642385,0.24087049868225147,0.3599365900797935,-0.2523258069841926,0.6936722916570403,0.20050787808075415,1.1005714311511896,0.2715002502514433,-0.17306545224153133,0.614411936914379
mstateKY,0.4216571889679756,0.2652280293620277,0.1123795943478252,-0.099172910308369,0.9424872882443203,0.22590149225345973,1.8665533581109748,0.062424671223951816,-0.02194711982265657,0.8652614977586077
mstateLA,0.604227326172402,0.2570261231986719,0.01903593280370167,0.09950336624939493,1.1089512860954092,0.2450414850950832,2.4658164552746826,0.013933366721840566,0.12303768224268341,1.0854169701021208
mstateMA,-0.5009029542622585,0.24748687136506278,0.043392732690339206,-0.9868946199723525,-0.014911288552164503,0.21556256335208374,-2.3237010474964577,0.020456288691217007,-0.9242046375005792,-0.07760127102393782
mstateMD,-0.08911680071698015,0.27032115822957004,0.7417579732525582,-0.6199483120616115,0.4417147106276512,0.2106175442272761,-0.42312145003843915,0.6723499119286064,-0.5027079160040475,0.32447431457008724
mstateME,-0.2101018749619865,0.26607403401750995,0.43003460268497007,-0.7325932793792806,0.3123895294553076,0.18503865319690535,-1.1354485742955047,0.2566157957609423,-0.5734635466009907,0.15325979667701772
mstateMI,-0.08579556200258476,0.23385956074205902,0.7138397867923025,-0.5450271844332379,0.37343606042806843,0.17471586102320227,-0.49105766070769674,0.6235553306233557,-0.4288862958920188,0.2572951718868493
mstateMN,-0.10835127629854863,0.2763523981133247,0.6951332563052022,-0.6510263747443292,0.43432382214723203,0.1878412308177189,-0.5768237134460256,0.5642629697344352,-0.4772163888219459,0.26051383622484864
mstateMO,-0.024634394217961125,0.3105625012509321,0.9368016122158228,-0.634488106689839,0.5852193182539168,0.1788248228900709,-0.1377571291268922,0.8904760366374382,-0.3757939246904395,0.3265251362545172
mstateMS,0.5065500437662995,0.29623299446425694,0.08775960478797695,-0.07516471800629909,1.0882648055388982,0.2981493848764141,1.6989806770061577,0.0898126339856832,-0.07892794699464134,1.0920280345272404
mstateMT,-0.21535401333111923,0.2696117750430224,0.4247305712676469,-0.7447925040498261,0.3140844773875876,0.19429612524262665,-1.1083803810405206,0.2681171991285273,-0.5968946462820884,0.16618661961985
mstateNC,0.012758798762844702,0.2336160960922235,0.956462858539678,-0.44599473046608656,0.47151232799177595,0.17919977431107065,0.07119874347998265,0.9432619989771722,-0.3391370263851732,0.36465462391086256
mstateND,-0.18973168148078035,0.31197481455668585,0.5432965250441391,-0.8023587632719357,0.422895400310375,0.17944373242414194,-1.0573324513353373,0.290761953436076,-0.5421065688476587,0.1626432058860981
mstateNE,-0.030786632421460923,0.2517594243977318,0.9027112735079319,-0.5251683398082247,0.46359507496530294,0.18824244832376638,-0.16354776882475336,0.8701392031776052,-0.4004396185116481,0.3388663536687263
mstateNH,-0.18753744808732514,0.3145088387611923,0.5511961901804201,-0.8051406105784591,0.43006571440380875,0.32527243798194316,-0.5765549926420015,0.5644444204919472,-0.8262771641478497,0.45120226797319946
mstateNJ,-0.24084563481984714,0.2847020043874109,0.3978954318019524,-0.7999169123388239,0.3182256426991297,0.20654820905378288,-1.1660504631010071,0.24403180987368198,-0.6464457687332745,0.16475449909358023
mstateNM,-0.15590338385532398,0.38002235127425166,0.6817624595565419,-0.9021558799338371,0.5903491122231891,0.16401976954634911,-0.9505158084694688,0.34221185214299876,-0.4779901295947942,0.16618336188414623
mstateNV,0.11505454808250117,0.2944904225269631,0.6961572141279588,-0.4632383132322915,0.6933474093972938,0.23985325815740424,0.4796872428015814,0.6316149720047224,-0.35594693904674923,0.5860560352117515
mstateNY,-0.06703547131326025,0.2402070816216059,0.7802791550312524,-0.5387317640044632,0.4046608213779427,0.21720956467419164,-0.30862117611538703,0.757710931200992,-0.49357138233725306,0.35950043971073253
mstateOH,-0.006798719238850446,0.23642209052185667,0.9770676698414116,-0.47106239896307445,0.45746496048537355,0.1792462725651738,-0.037929487411675115,0.9697558233176247,-0.35878585332717516,0.34518841484947427
mstateOK,0.04893173541117367,0.24047537466493515,0.8388256941375604,-0.4232914061682423,0.5211548769905896,0.21619657853690638,0.22632983251777342,0.8210177308852159,-0.3756149677914704,0.4734784386138178
mstateOR,-0.04682304947715217,0.2387365916819485,0.8445723379489029,-0.5156317309943067,0.4219856320400024,0.18255135661066726,-0.256492476125571,0.7976536654837827,-0.40530039976046806,0.31165430080616374
mstatePA,-0.14224693524310938,0.23644898079320073,0.5476573136477071,-0.6065634195774925,0.32206954909127367,0.18384729243636097,-0.7737233078499015,0.4393823788450215,-0.5032691235903937,0.21877525310417495
mstateRI,0.24551868540795782,0.38039027279882587,0.5188759337809397,-0.5014563006902973,0.992493671506213,0.1931947644572888,1.2708350875742116,0.20425268568126145,-0.13385919781951364,0.6248965686354293
mstateSC,-0.23874956768983574,0.27353527752280726,0.3830861261637487,-0.7758926671219304,0.29839353174225897,0.23148096078049446,-1.0314004524814195,0.30274573690537054,-0.6933103170717382,0.2158111816920667
mstateSD,-0.1165556348498044,0.24603655211043246,0.6358531454098767,-0.5996992986982985,0.3665880289986897,0.18868644658815198,-0.617721288186701,0.5369805374871175,-0.48708050337517284,0.253969233675564
mstateTN,0.41565363873599437,0.31070898927533736,0.1814540235021625,-0.19448773327351732,1.025795010745506,0.26560223427914526,1.5649478245696782,0.1180933292218041,-0.10591128930109928,0.937218566773088
mstateTX,0.0274315362412088,0.23461404590252802,0.9069588582452774,-0.43328167387071176,0.4881447463531294,0.17851857424574907,0.15366208450357935,0.8779250014101442,-0.32312661166921886,0.3779896841516365
mstateUT,0.029843799627643035,0.23827757789660797,0.9003668271234814,-0.43806351337290644,0.49775111262819255,0.17913729531068334,0.16659735526253208,0.8677399082403305,-0.321929335079049,0.3816169343343351
mstateVA,-0.04989079348840842,0.24544661916908148,0.8389927518631806,-0.5318760019762483,0.43209441499943146,0.20882654142417462,-0.23891021298422394,0.8112522900743396,-0.45996490429451153,0.3601833173176947
mstateWA,-0.07464311428267689,0.24302444605982806,0.7588356753204406,-0.5518718848329751,0.4025856562676214,0.18186552902966108,-0.4104302485519567,0.6816288065370169,-0.4317737002441332,0.2824874716787794
mstateWI,0.1656450891899769,0.2608503391631504,0.5256443444266083,-0.34658850983574674,0.6778786882157005,0.20490918022058474,0.8083829578140909,0.4191729038180325,-0.2367364725688983,0.5680266509488521
mstateWV,-0.012200383053440315,0.31295965755091154,0.9689154901772213,-0.6267614077830096,0.602360641676129,0.24600628436601152,-0.049593786129822674,0.9604616933179331,-0.4952846099247433,0.47088384381786275
mstateWY,0.049269017760119015,0.27010725010919046,0.8553228142055906,-0.4811424407422796,0.5796804762625176,0.2285626173018006,0.21556026239874038,0.8293997519635152,-0.39956096052874823,0.4980989960489862
year2024,-0.011964512990074734,0.038721389153396714,0.7574306625027731,-0.08800197028820181,0.06407294430805235,0.041143538318768776,-0.2907993205974895,0.7712997562503535,-0.0927583612069795,0.06882933522683002
