term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
tefca_statusCurrent TEFCA,0.10848031782157228,0.054618062829850926,0.047444844824751684,0.0012264534604869426,0.2157341821826576,0.05784146680164643,1.8754766056258523,0.06118580969709928,-0.005103367013903584,0.22206400265704812
tefca_statusNeither current nor planned,0.080499825651311,0.05027338196113922,0.10982077295756228,-0.018222359107063685,0.1792220104096857,0.052091538075808956,1.5453532113826125,0.1227590484991074,-0.021792684732078127,0.18279233603470013
national_network,-0.02559592534066353,0.04216972600957179,0.5440851557804722,-0.10840490536005047,0.05721305467872341,0.04476232492815573,-0.5718184965089596,0.5676472992243966,-0.11349600962756623,0.06230415894623917
vendor_network,-0.18628956893811935,0.044623435577174964,3.400398073333646e-5,-0.2739169152544775,-0.09866222262176123,0.04607360519682396,-4.043303495402636,5.9179676159141146e-5,-0.27676462327683876,-0.09581451459939995
hio,-0.026339132410012633,0.05059171234447348,0.6028119577515836,-0.12568642472415156,0.07300815990412629,0.053228704878028124,-0.49482948101720514,0.6208916536598287,-0.13086470503768344,0.07818644021765817
log_denominator,-0.07464139974787158,0.014601475162868307,4.226287547405155e-7,-0.10331441661170143,-0.04596838288404173,0.015579645464159514,-4.790956246057189,2.0683814866312195e-6,-0.10523525633726179,-0.044047543158481375
