term,estimate,std.error,statistic,p.value,conf.low,conf.high,predictor
tefca_statusCurrent TEFCA,0.10848031782157228,0.054618062829850926,1.9861619435225282,0.047444844824751684,0.0012264534604869426,0.2157341821826576,Current vs planned
tefca_statusNeither current nor planned,0.080499825651311,0.05027338196113922,1.60124150218373,0.10982077295756228,-0.018222359107063685,0.1792220104096857,Neither vs planned
national_network,-0.02559592534066353,0.04216972600957179,-0.6069739541313051,0.5440851557804722,-0.10840490536005047,0.05721305467872341,National network
vendor_network,-0.18628956893811935,0.044623435577174964,-4.174702519619693,3.400398073333646e-5,-0.2739169152544775,-0.09866222262176123,Vendor network
hio,-0.026339132410012633,0.05059171234447348,-0.5206214850106741,0.6028119577515836,-0.12568642472415156,0.07300815990412629,HIO
log_denominator,-0.07464139974787158,0.014601475162868307,-5.111908140465519,4.226287547405155e-7,-0.10331441661170143,-0.04596838288404173,Log CMS denominator
